LOTID5	WAFER_ID	PROCESS_ID_LX856900_PROCESS_ID_MAX	PROCESS_ID_ZA991000_PROCESS_ID_MAX	ET_TIME_LX856900_TKOUT_TIME_MAX	ET_TIME_ZA991000_TKOUT_TIME_MAX	ET_D120_M1_1b_lat_100BCR_VALUE_MEDIAN	ET_D120_M1_1b_lat_100IRD_L_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_EGN_2/0.15_Vtsat_VALUE_MEDIAN	ET_EGN_2/2_Vtlin_VALUE_MEDIAN	ET_EGN_Tox_inv_VALUE_MEDIAN	ET_EGP_2/0.45_Vtsat_VALUE_MEDIAN	ET_EGP_2/2_Vtlin_VALUE_MEDIAN	ET_EGP_Tox_inv_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_HVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_HVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_LVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVT_Vt_np_ratio_VALUE_MEDIAN	ET_LVT_Vt_sum_VALUE_MEDIAN	ET_Leff_N_VALUE_MEDIAN	ET_Leff_P_VALUE_MEDIAN	ET_Lpoly_RVTN_VALUE_MEDIAN	ET_Lpoly_RVTP_VALUE_MEDIAN	ET_NW_Res_10x30_VALUE_MEDIAN	ET_RVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_RVTN_1/1_Vtlin_VALUE_MEDIAN	ET_RVTN_Cov_VALUE_MEDIAN	ET_RVTN_Covdd_VALUE_MEDIAN	ET_RVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_RVTP_1/1_Vtlin_VALUE_MEDIAN	ET_RVTP_Cov_VALUE_MEDIAN	ET_RVTP_Covdd_VALUE_MEDIAN	ET_RVT_Vt_Sum_VALUE_MEDIAN	ET_RVT_vt_NP_ratio_VALUE_MEDIAN	ET_SGN_Tox_inv_VALUE_MEDIAN	ET_SGP_Tox_inv_VALUE_MEDIAN	ET_SLVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_SLVTN_1/1_Vtlin_VALUE_MEDIAN	ET_SLVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_SLVTP_1/1_Vtlin_VALUE_MEDIAN	ET_VPNP_Beta_VALUE_MEDIAN
S59PT	1		UXAN		09/07/2017 09:46	233.029	23.294	51.44	0.442	42.255	0.449	11.961	0.426	0.459	0.489	35.304		0.514	37.726	92.625	0.405	68.77	0.422	20.709	0.329			0.296	0.185	1.6	0.491			32.243	35.531		0.356	0.358	0.217	1.033	0.317	0.452	0.2	0.949	0.673		13.287	16.324					
S59PT	2		UXAN		13/07/2017 05:54	230.107	24.902	49.775	0.466	42.385	0.467	11.84	0.435	0.445	0.477	34.85		0.509	37.085	90.23	0.43	67.165	0.439	19.778	0.373			0.303	0.246	1.23	0.56			33.306	36.318		0.377	0.358	0.215	1.061	0.342	0.45	0.192	0.967	0.715		13.338	16.302					
S59PT	3		UXAN		13/07/2017 06:02	228.819	24.198	49.89	0.46	43.505	0.458	11.006	0.445	0.454	0.486	35.513		0.509	37.543	90.63	0.422	66.02	0.444	19.759	0.367			0.309	0.257	1.2	0.571			34.825	37.565		0.372	0.361	0.221	1.097	0.348	0.455	0.194	0.993	0.722		13.325	16.317					
S59PT	4		UXAN		13/07/2017 06:08	230.811	25.266	52.295	0.443	42.74	0.455	10.971	0.444	0.445	0.472	34.775		0.504	36.949	91.09	0.424	67.7	0.431	18.73	0.372			0.3	0.254	1.21	0.553			33.409	36.524		0.373	0.353	0.215	1.065	0.354	0.45	0.192	0.97	0.715		13.311	16.309					
S59PT	5		UXAN		13/07/2017 06:16	199.055	26.762	51.36	0.433	44.37	0.442	11.224	0.447	0.45	0.478	35.223		0.504	37.693	91.935	0.403	68.145	0.413	18.893	0.384			0.288	0.25	1.146	0.541			34.52	36.933		0.355	0.346	0.217	1.1	0.347	0.444	0.191	0.983	0.707		13.177	16.245					
S59PT	6		UXAN		13/07/2017 06:22	211.489	24.572	53.475	0.429	43.06	0.455	11.473	0.424	0.446	0.481	35.284		0.506	37.414	91.63	0.405	67.7	0.416	19.51	0.373			0.302	0.259	1.174	0.549			33.665	36.787		0.362	0.351	0.213	1.072	0.354	0.447	0.191	0.977	0.718		13.258	16.273					
S59PT	7		UXAN		13/07/2017 06:29	210.35	24.674	51.56	0.454	41.915	0.455	11.477	0.451	0.452	0.481	35.133		0.511	37.264	89.45	0.421	68.09	0.431	18.392	0.39			0.296	0.248	1.223	0.553			33.579	36.72		0.363	0.352	0.214	1.071	0.339	0.45	0.194	0.977	0.715		13.293	16.269					
S59PT	8		UXAN		13/07/2017 07:11	234.899	24.62	52.555	0.443	44.26	0.45	10.394	0.441	0.449	0.478	35.278		0.507	37.717	92.83	0.413	69.05	0.425	18.736	0.367			0.295	0.262	1.126	0.55			34.026	36.643		0.358	0.349	0.216	1.082	0.357	0.447	0.192	0.976	0.713		13.227	16.25					
S59PT	9		UXAN		13/07/2017 07:17	213.837	24.548	56	0.42	45.965	0.436	10.878	0.442	0.443	0.481	35.187		0.508	37.481	90.4	0.402	69.95	0.421	18.789	0.378			0.28	0.263	1.068	0.536			34.944	37.647		0.352	0.347	0.22	1.105	0.354	0.451	0.194	0.991	0.706		13.229	16.354					
S59PT	10		UXAN		13/07/2017 07:24	214.338	24.462	48.46	0.458	42.805	0.462	11.132	0.438	0.453	0.477	35.302		0.509	37.645	89.71	0.416	66.28	0.421	19.764	0.361			0.307	0.272	1.129	0.574			34.026	37.333		0.369	0.355	0.214	1.078	0.359	0.451	0.193	0.985	0.723		13.318	16.332					
