LOTID5	WAFER_ID	PROCESS_ID_LE821910_PROCESS_ID_MAX	ET_TIME_LE821910_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	RVTN_Cov	RVTN_Covdd	RVTP_Cov	RVTP_Covdd	SGN_Tox_inv	SGP_Tox_inv	date	month	date_lot
S5ZKV	6	UXTD	27/06/2017 20:41			475.187	477.623	10.119	425.955	0.509	0.572	0.206	0.277	0.482	0.57	0.335	0.219	33.252	36.477	0.214	1.055	0.237	0.978	13.369	16.164	27	6	6/27_S5ZKV
S5ZKV	7	UXTD	27/06/2017 20:54			460.9	471.015	10.203	421.8	0.509	0.564	0.207	0.274	0.482	0.557	0.327	0.224	32.98	35.793	0.219	1.044	0.236	0.961	13.417	16.183	27	6	6/27_S5ZKV
S5ZKV	10	UXTD	27/06/2017 21:05			478.999	460.9	9.439	442.431	0.506	0.573	0.206	0.275	0.487	0.565	0.34	0.212	32.934	36.106	0.213	1.044	0.239	0.97	13.415	16.152	27	6	6/27_S5ZKV
S5ZKV	12	UXTD	27/06/2017 21:18			473.728	471.057	9.661	434.942	0.507	0.564	0.206	0.27	0.483	0.563	0.339	0.217	33.053	36.289	0.216	1.046	0.237	0.969	13.452	16.219	27	6	6/27_S5ZKV
S5ZKV	13	UXTD	27/06/2017 22:21	226.658	21.529	476.289	472.572	9.542	446.036	0.514	0.579	0.208	0.278	0.484	0.564	0.335	0.238	33.022	35.738	0.219	1.045	0.235	0.962	13.398	16.148	27	6	6/27_S5ZKV
S5ZKV	14	UXTD	27/06/2017 22:33			467.024	481.36	9.84	443.292	0.51	0.567	0.207	0.279	0.487	0.566	0.328	0.226	33.311	36.416	0.218	1.055	0.239	0.977	13.406	16.143	27	6	6/27_S5ZKV
S5ZKV	15	UXTD	27/06/2017 22:46			466.792	477.343	9.72	435.613	0.512	0.574	0.203	0.276	0.479	0.574	0.344	0.245	33.22	36.502	0.21	1.049	0.234	0.975	13.428	16.203	27	6	6/27_S5ZKV
S5ZKV	16	UXTD	27/06/2017 22:58			482.88	474.471	8.762	456.21	0.517	0.572	0.205	0.277	0.483	0.566	0.342	0.236	33.615	36.744	0.216	1.062	0.241	0.984	13.394	16.134	27	6	6/27_S5ZKV
S5ZKV	17	UXTD	27/06/2017 23:10			476.033	470.197	9.729	451.94	0.504	0.562	0.206	0.279	0.485	0.566	0.334	0.24	33.196	36.058	0.218	1.047	0.236	0.966	13.412	16.215	27	6	6/27_S5ZKV
S5ZKV	18	UXTD	27/06/2017 23:23			479.779	483.534	8.941	431.515	0.508	0.573	0.208	0.282	0.486	0.57	0.346	0.234	33.25	36.007	0.217	1.048	0.239	0.965	13.437	16.202	27	6	6/27_S5ZKV
S5ZKV	19	UXTD	27/06/2017 23:35			477.754	480.329	9.523	437.294	0.502	0.564	0.208	0.275	0.48	0.564	0.335	0.236	33.379	36.135	0.22	1.057	0.24	0.969	13.378	16.169	27	6	6/27_S5ZKV
S5ZKV	20	UXTD	27/06/2017 23:47			478.302	477.601	9.586	437.494	0.515	0.575	0.204	0.272	0.48	0.556	0.348	0.229	33.017	35.951	0.212	1.044	0.234	0.964	13.422	16.219	27	6	6/27_S5ZKV
S63PF	13	UXTN	27/06/2017 11:03	234.615	18.096	487.272	485.919	10.531	422.208							0.356	0.216	33.888	36.737	0.209	1.072	0.235	0.982	13.349	16.17	27	6	6/27_S63PF
SZ7PB	2	UXTD	27/06/2017 08:27			472.672	480.198	10.06	444.371	0.495	0.556	0.211	0.285	0.494	0.571	0.342	0.217	33.857	36.223	0.222	1.063	0.235	0.961	13.463	16.415	27	6	6/27_SZ7PB
SZ7PB	4	UXTD	27/06/2017 08:40			459.198	466.654	10.976	422.544	0.494	0.556	0.21	0.283	0.491	0.571	0.33	0.232	34.236	36.913	0.224	1.074	0.242	0.977	13.444	16.325	27	6	6/27_SZ7PB
SZ7PB	6	UXTD	27/06/2017 08:51			468.7	462.156	9.361	449.529	0.494	0.555	0.21	0.285	0.495	0.572	0.339	0.23	34.094	37.194	0.221	1.072	0.24	0.977	13.444	16.427	27	6	6/27_SZ7PB
SZ7PB	8	UXTD	27/06/2017 09:03			441.728	455.027	10.707	437.041	0.494	0.558	0.209	0.28	0.493	0.571	0.327	0.218	33.885	36.87	0.223	1.071	0.241	0.978	13.378	16.338	27	6	6/27_SZ7PB
