LOTID5	WAFER_ID	PROCESS_ID_LE522600_PROCESS_ID_MAX	ET_TIME_LE522600_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	NW_Res_10x30	RVTN_0.21/0.03x7_Vtsat	RVTN_1/1_Vtlin	RVTN_Cov	RVTN_Covdd	RVTP_0.3/0.03x5_Vtsat	RVTP_1/1_Vtlin	RVTP_Cov	RVTP_Covdd	RVT_Vt_Sum	SGN_Tox_inv	SGP_Tox_inv	VPNP_Beta	date	month	date_lot
S605B	4	UXTD	27/06/2017 20:14			469.259	462.296	10.709	413.828	0.519	0.588	0.209	0.239	0.497	0.536	0.347	0.213	32.955	36.212		0.422	0.42	0.224	1.053	0.321	0.508	0.306	0.975		13.347	16.092		27	6	6/27_S605B
S605B	7	UXTD	27/06/2017 20:31			470.102	461.594	10.741	418.697	0.523	0.587	0.21	0.241	0.497	0.536	0.341	0.213	33.476	36.428		0.421	0.417	0.227	1.063	0.325	0.51	0.306	0.981		13.341	16.047		27	6	6/27_S605B
S605B	9	UXTD	27/06/2017 20:46			474.898	465.936	10.161	427.253	0.524	0.588	0.21	0.232	0.498	0.538	0.35	0.206	33.711	36.684		0.414	0.421	0.227	1.067	0.315	0.506	0.309	0.984		13.371	16.112		27	6	6/27_S605B
S605B	12	UXTD	27/06/2017 21:45	195.124	18.62	476.944	468.7	10.418	426.284	0.519	0.588	0.21	0.235	0.494	0.537	0.354	0.218	33.753	36.783	768.526	0.427	0.424	0.227	1.064	0.316	0.511	0.309	0.987	0.737	13.417	16.116	0.847	27	6	6/27_S605B
S605B	13	UXTD	27/06/2017 22:45	183.157	20.529	468.7	462.256	9.689	413.57	0.525	0.592	0.209	0.233	0.496	0.536	0.362	0.205	33.567	36.383	774.392	0.43	0.424	0.224	1.06	0.321	0.512	0.306	0.975	0.753	13.412	16.132	0.835	27	6	6/27_S605B
S605B	14	UXTD	27/06/2017 23:46	185.91	18.643	492.444	470.397	10.391	417.571	0.514	0.59	0.209	0.244	0.501	0.535	0.364	0.216	33.247	36.671	768.126	0.438	0.426	0.224	1.052	0.319	0.521	0.31	0.983	0.758	13.427	16.118	0.856	27	6	6/27_S605B
S61UV	6	UXTD	27/06/2017 17:41			482.204	472.896	10.387	422.959	0.533	0.597	0.203	0.229	0.508	0.547	0.349	0.201	32.219	35.785		0.422	0.416	0.221	1.028	0.306	0.513	0.309	0.966		13.381	16.046		27	6	6/27_S61UV
S61UV	11	UXTD	27/06/2017 17:57			464.471	466.892	10.386	426.84	0.521	0.585	0.205	0.248	0.524	0.548	0.351	0.202	32.909	36.18		0.419	0.415	0.225	1.048	0.312	0.514	0.308	0.975		13.307	16.063		27	6	6/27_S61UV
S61UV	12	UXTD	27/06/2017 18:55	171.437	19.895	468.163	476.028	10.208	429.255	0.516	0.58	0.206	0.256	0.524	0.544	0.35	0.213	32.954	36.331	784.659	0.42	0.406	0.223	1.05	0.321	0.512	0.306	0.981	0.746	13.296	16.013	0.81	27	6	6/27_S61UV
S61UV	13	UXTD	27/06/2017 19:54	200.548	17.054	480.366	465.224	10.324	435.95	0.524	0.592	0.205	0.236	0.514	0.545	0.36	0.208	32.207	35.757	786.525	0.422	0.419	0.219	1.03	0.315	0.514	0.309	0.968	0.739	13.328	16.02	0.821	27	6	6/27_S61UV
S61UV	14	UXTD	27/06/2017 20:10			474.229	456.605	10.42	413.394	0.521	0.586	0.206	0.245	0.517	0.545	0.344	0.203	32.385	35.749		0.419	0.41	0.221	1.037	0.318	0.518	0.306	0.968		13.289	16.035		27	6	6/27_S61UV
S61UV	21	UXTD	27/06/2017 20:27			481.778	466.815	10.536	408.608	0.52	0.593	0.208	0.238	0.515	0.546	0.349	0.192	32.512	36.143		0.417	0.414	0.222	1.037	0.309	0.518	0.309	0.974		13.332	16.062		27	6	6/27_S61UV
S61UV	22	UXTD	27/06/2017 20:43			466.911	464.897	10.497	406.2	0.518	0.593	0.206	0.233	0.512	0.543	0.349	0.185	32.459	35.891		0.418	0.423	0.223	1.035	0.301	0.514	0.308	0.967		13.359	16.062		27	6	6/27_S61UV
S62WG	1	UXTD	27/06/2017 23:14			476.808	492.481	10.327	416.738	0.515	0.58	0.209	0.237	0.508	0.537	0.361	0.21	32.803	35.513		0.426	0.419	0.225	1.033	0.305	0.505	0.294	0.95		13.532	16.291		27	6	6/27_S62WG
S62WG	9	UXTD	27/06/2017 23:30			501.913	497.251	9.919	419.179	0.52	0.581	0.206	0.247	0.51	0.543	0.371	0.221	32.469	35.587		0.435	0.415	0.217	1.027	0.331	0.52	0.302	0.959		13.464	16.105		27	6	6/27_S62WG
S62WG	10	UXTD	27/06/2017 23:46			492.87	495.215	10.547	416.295	0.512	0.574	0.211	0.247	0.511	0.539	0.357	0.197	32.782	35.518		0.436	0.411	0.224	1.036	0.313	0.508	0.297	0.952		13.468	16.256		27	6	6/27_S62WG
S64CP	1	UXTD	27/06/2017 21:46	184.08	17.108			9.676	414.873				0.248												0.323	0.506						0.841	27	6	6/27_S64CP
S64CP	2	UXTD	27/06/2017 22:02			507.04	502.728	9.292	429.6	0.53	0.586	0.203	0.258	0.521	0.549	0.366	0.225	32.706	36.197		0.434	0.421	0.216	1.037	0.331	0.51	0.303	0.969		13.418	16.194		27	6	6/27_S64CP
S64CP	7	UXTD	27/06/2017 22:19			478.242	467.879	9.786	411.061	0.512	0.582	0.209	0.257	0.519	0.552	0.34	0.198	33.494	36.612		0.41	0.418	0.232	1.053	0.311	0.514	0.311	0.979		13.442	16.157		27	6	6/27_S64CP
S64CP	10	UXTD	27/06/2017 22:29	181.937	18.765			9.675	420.782				0.243												0.307	0.51						0.844	27	6	6/27_S64CP
