LOTID5	PROCESS_ID_LX562150_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	WAFER_ID	D120_M1_4b_ult_PD_Idsat	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Idsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Tox_inv	EGP_2/0.45_Vtsat	EGP_2/2_Vtlin	EGP_Tox_inv	HVN_AS_10/2.6x1_Vtsat	HVP_S_10/2x1_Vtsat	HVTN_0.21/0.03x7_Vtsat	HVTN_1/1_Vtlin	HVTN_Cov	HVTN_Covdd	HVTP_0.3/0.03x5_Vtsat	HVTP_1/1_Vtlin	HVTP_Cov	HVTP_Covdd	Leff_N	Leff_P	SGN_Tox_inv	SGP_Tox_inv	UMVN_10/10x1_Vtlin	UMVP_10/10x1_Vtlin	date	month	date_lot
S5ZNN	UXU3	25/06/2017 05:39	13							0.527	0.547	36.033	0.475	0.548	40.628	0.901	1.05	0.481	0.426	0.212	1.058	0.38	0.528	0.285	0.972	24.456	18.951	13.341	16.118	0.907	0.877	25	6	6/25_S5ZNN
S5ZNN	UXU3	25/06/2017 06:04	15							0.523	0.552	36.648		0.551	41.042			0.484	0.425	0.213		0.396	0.525	0.286				13.309	16.11	0.903	0.882	25	6	6/25_S5ZNN
S5ZNN	UXU3	25/06/2017 07:26	18							0.524	0.556	36.634	0.48	0.552	41.052	0.911	1.055	0.492	0.426	0.213	1.06	0.403	0.532	0.282	0.974	24.436	18.946	13.368	16.135	0.911	0.881	25	6	6/25_S5ZNN
S5ZNN	UXU3	25/06/2017 08:49	19							0.525	0.548	36.322	0.468	0.542	40.422	0.901	1.036	0.485	0.418	0.21	1.056	0.397	0.522	0.285	0.966	24.395	18.449	13.302	16.115	0.909	0.874	25	6	6/25_S5ZNN
S60HW	UXU3	25/06/2017 05:21	10							0.525	0.552	35.712		0.556	40.429			0.483	0.439			0.404	0.532					13.534	16.348			25	6	6/25_S60HW
S60HW	UXU3	25/06/2017 11:09	12							0.534	0.564	36.44		0.548	41.027			0.483	0.423			0.379	0.52					13.349	16.265			25	6	6/25_S60HW
S60HW	UXU3	25/06/2017 12:35	13							0.522	0.558	36.132	0.475	0.546	40.563	0.873	1.089	0.483	0.424	0.214	1.074	0.399	0.527	0.288	0.978	24.988	19.05	13.407	16.323	0.905	0.898	25	6	6/25_S60HW
S60HW	UXU3	25/06/2017 14:03	14							0.522	0.554	35.626		0.54	39.837			0.485	0.426			0.393	0.527					13.422	16.289			25	6	6/25_S60HW
S60HW	UXU3	25/06/2017 15:35	16							0.52	0.557	35.627		0.538	39.941			0.498	0.438			0.396	0.534					13.634	16.358			25	6	6/25_S60HW
S60UP	UXU3	26/06/2017 13:02	7							0.513	0.547	36.273	0.481	0.556	40.751	0.843	1.063	0.481	0.411	0.212	1.04	0.38	0.519	0.285	0.956	23.682	18.023	13.364	16.201	0.908	0.887	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 14:25	8							0.527	0.557	36.6	0.478	0.547	40.793	0.847	1.054	0.491	0.415	0.207	1.052	0.391	0.522	0.287	0.966	24.65	18.384	13.33	16.166	0.909	0.882	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 15:49	9							0.52	0.554	36.766	0.485	0.556	41.239	0.849	1.053	0.486	0.414	0.213	1.037	0.38	0.528	0.282	0.953	23.797	18.081	13.43	16.235	0.909	0.888	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 15:55	10							0.52	0.554	36.115		0.542	40.659			0.494	0.42			0.388	0.518					13.363	16.131	0.912	0.881	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 17:19	11							0.517	0.55	36.347	0.481	0.555	40.657	0.857	1.074	0.489	0.419	0.211	1.031	0.386	0.527	0.284	0.951	23.733	18.052	13.458	16.237	0.907	0.891	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 18:42	13							0.517	0.553	36.834	0.485	0.555	41.005	0.855	1.068	0.49	0.415	0.209	1.049	0.38	0.526	0.284	0.964	24.351	18.5	13.458	16.263	0.904	0.885	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 18:49	20							0.516	0.559	36.871		0.552	41.308			0.503	0.425			0.39	0.525					13.483	16.448	0.905	0.885	26	6	6/26_S60UP
S60UP	UXU3	26/06/2017 19:15	25							0.51	0.547	36.326		0.545	40.667			0.493	0.424	0.207		0.372	0.518	0.276				13.541	16.467	0.903	0.887	26	6	6/26_S60UP
S61GG	UXU6	26/06/2017 04:59	13							0.503	0.547	36.339	0.464	0.544	40.555	0.891	1.08	0.478	0.415	0.215	1.078	0.375	0.531	0.285	0.978	25.032	19.33	13.408	16.378	0.899	0.887	26	6	6/26_S61GG
S61GG	UXU6	26/06/2017 05:25	17							0.513	0.554	35.779		0.529	40.066			0.494	0.425	0.212		0.385	0.529	0.288				13.355	16.311	0.909	0.885	26	6	6/26_S61GG
S61K8	UXU6	26/06/2017 10:05	13							0.522	0.553	36.061	0.467	0.538	40.357	0.885	1.082	0.496	0.419	0.207	1.054	0.394	0.52	0.268	0.966	24.71	20.145	13.409	16.283	0.893	0.881	26	6	6/26_S61K8
S61K8	UXU6	26/06/2017 10:30	20							0.525	0.56	36.119		0.537	40.502			0.477	0.422	0.21		0.394	0.528	0.277				13.393	16.328	0.904	0.881	26	6	6/26_S61K8
S61P6	UXU6	26/06/2017 05:37	9							0.528	0.551	36.252		0.528	40.661			0.485	0.409	0.209		0.38	0.505	0.277				13.289	16.149	0.914	0.87	26	6	6/26_S61P6
S61P6	UXU6	26/06/2017 07:01	13							0.52	0.56	36.547	0.449	0.517	41.097	0.904	1.065	0.49	0.422	0.211	1.029	0.374	0.515	0.278	0.952	23.58	18.859	13.447	16.26	0.915	0.872	26	6	6/26_S61P6
S61T5	UXU6	26/06/2017 08:13	12							0.515	0.562	35.424		0.524	40.056			0.472	0.426	0.215		0.371	0.523	0.282				13.368	16.278	0.907	0.883	26	6	6/26_S61T5
S61T5	UXU6	26/06/2017 09:36	13							0.513	0.558	35.983	0.452	0.532	40.334	0.867	1.101	0.485	0.427	0.213	1.054	0.363	0.52	0.283	0.967	24.414	19.163	13.354	16.315	0.899	0.884	26	6	6/26_S61T5
S603K	UXU3	27/06/2017 00:45	8							0.526	0.553	36.538	0.487	0.558	40.899	0.868	1.074	0.495	0.41	0.207	1.062	0.412	0.519	0.282	0.979	24.906	19.472	13.355	16.241	0.895	0.882	27	6	6/27_S603K
S603K	UXU3	27/06/2017 02:07	9							0.519	0.554	35.93	0.475	0.547	40.345	0.861	1.078	0.496	0.417	0.209	1.065	0.399	0.522	0.285	0.971	24.85	18.688	13.336	16.217	0.898	0.883	27	6	6/27_S603K
S603K	UXU3	27/06/2017 02:16	10							0.532	0.558	36.878		0.556	41.181			0.492	0.417			0.407	0.516					13.293	16.194	0.898	0.882	27	6	6/27_S603K
S603K	UXU3	27/06/2017 03:40	11							0.518	0.554	36.127	0.471	0.544	40.408	0.863	1.071	0.494	0.419	0.209	1.068	0.407	0.525	0.291	0.986	24.966	18.785	13.374	16.219	0.897	0.876	27	6	6/27_S603K
S603K	UXU3	27/06/2017 05:05	12							0.528	0.558	35.999	0.476	0.548	40.62	0.87	1.072	0.5	0.426	0.207	1.062	0.425	0.533	0.287	0.977	24.762	18.809	13.331	16.252	0.9	0.879	27	6	6/27_S603K
S603K	UXU3	27/06/2017 06:28	13							0.53	0.563	36.934	0.472	0.543	41.105	0.872	1.064	0.492	0.426	0.208	1.049	0.383	0.518	0.283	0.962	24.754	18.703	13.405	16.401	0.901	0.874	27	6	6/27_S603K
S603K	UXU3	27/06/2017 06:54	14							0.531	0.567	36.913		0.548	41.146			0.506	0.428	0.21		0.414	0.525	0.283				13.389	16.369	0.899	0.882	27	6	6/27_S603K
S603K	UXU3	27/06/2017 07:00	20							0.534	0.557	36.67		0.548	40.962			0.494	0.416			0.401	0.512					13.357	16.289	0.897	0.876	27	6	6/27_S603K
S60G6	UXU3	27/06/2017 01:02	10							0.516	0.547	36.115		0.548	40.557			0.486	0.423	0.212		0.369	0.53	0.282				13.366	16.259	0.891	0.859	27	6	6/27_S60G6
S60G6	UXU3	27/06/2017 02:29	13							0.512	0.542	35.907	0.479	0.548	40.437	0.882	1.053	0.468	0.416	0.213	1.055	0.386	0.532	0.285	0.965	24.107	18.506	13.329	16.192	0.886	0.86	27	6	6/27_S60G6
S60HZ	UXU3	27/06/2017 01:09	5							0.525	0.552	36.408		0.563	40.91			0.485	0.409	0.215		0.374	0.53	0.293				13.269	16.185	0.907	0.871	27	6	6/27_S60HZ
S60HZ	UXU3	27/06/2017 02:33	13							0.526	0.558	36.403	0.478	0.549	40.795	0.888	1.049	0.494	0.413	0.215	1.051	0.373	0.522	0.285	0.955	23.635	18.102	13.266	16.194	0.916	0.867	27	6	6/27_S60HZ
S61K6	UXU6	27/06/2017 06:24	1							0.521	0.55	36.394		0.546	40.571			0.496	0.419	0.206		0.37	0.529	0.27				13.526	16.277	0.89	0.905	27	6	6/27_S61K6
S61K6	UXU6	27/06/2017 07:48	13							0.518	0.554	36.701	0.467	0.538	40.95	0.854	1.095	0.48	0.421	0.209	1.048	0.36	0.516	0.271	0.96	24.265	19.56	13.404	16.209	0.891	0.895	27	6	6/27_S61K6
S61K6	UXU6	27/06/2017 09:10	14							0.525	0.561	36.536	0.466	0.539	40.897	0.85	1.089	0.49	0.426	0.211	1.064	0.387	0.525	0.281	0.98	24.594	19.464	13.339	16.197	0.898	0.895	27	6	6/27_S61K6
S61K6	UXU6	27/06/2017 10:33	15							0.517	0.558	36.443	0.469	0.545	40.745	0.861	1.099	0.49	0.428	0.21	1.043	0.372	0.537	0.279	0.963	24.081	18.959	13.476	16.285	0.898	0.9	27	6	6/27_S61K6
S61K6	UXU6	27/06/2017 11:55	16							0.518	0.557	36.584	0.472	0.544	41.11	0.847	1.104	0.488	0.419	0.209	1.046	0.365	0.529	0.28	0.969	24.344	19.136	13.351	16.195	0.896	0.906	27	6	6/27_S61K6
S61K6	UXU6	27/06/2017 13:18	17							0.517	0.559	36.633	0.47	0.542	40.853	0.858	1.101	0.49	0.432	0.21	1.043	0.382	0.536	0.277	0.959	24.119	19.069	13.482	16.328	0.902	0.903	27	6	6/27_S61K6
S61UX	UXU6	27/06/2017 09:09	13							0.525	0.562	35.579	0.448	0.523	39.845	0.872	1.11	0.472	0.42	0.209	1.051	0.397	0.522	0.279	0.968	24.332	18.992	13.33	16.13	0.904	0.9	27	6	6/27_S61UX
S61UX	UXU6	27/06/2017 09:36	24							0.523	0.56	35.647		0.524	39.872			0.474	0.417	0.211		0.4	0.522	0.284				13.358	16.171	0.903	0.902	27	6	6/27_S61UX
S61UY	UXU6	27/06/2017 20:45	13							0.508	0.545	35.784	0.46	0.532	40.056	0.893	1.069	0.477	0.415	0.208	1.055	0.395	0.522	0.273	0.974	24.633	20.061	13.325	16.149	0.896	0.875	27	6	6/27_S61UY
S61UY	UXU6	27/06/2017 21:11	16							0.518	0.557	36.054		0.531	40.351			0.469	0.415	0.212		0.374	0.529	0.28				13.319	16.186	0.888	0.872	27	6	6/27_S61UY
