LOTID5	WAFER_ID	PROCESS_ID_LX562150_PROCESS_ID_MAX	PROCESS_ID_ZA522600_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	ET_TIME_ZA522600_TKOUT_TIME_MAX	ET_D120_M1_1b_lat_100BCR_VALUE_MEDIAN	ET_D120_M1_1b_lat_100IRD_L_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_EGN_2/0.15_Vtsat_VALUE_MEDIAN	ET_EGN_2/2_Vtlin_VALUE_MEDIAN	ET_EGN_Tox_inv_VALUE_MEDIAN	ET_EGP_2/0.45_Vtsat_VALUE_MEDIAN	ET_EGP_2/2_Vtlin_VALUE_MEDIAN	ET_EGP_Tox_inv_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_HVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_HVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_LVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVT_Vt_np_ratio_VALUE_MEDIAN	ET_LVT_Vt_sum_VALUE_MEDIAN	ET_Leff_N_VALUE_MEDIAN	ET_Leff_P_VALUE_MEDIAN	ET_Lpoly_RVTN_VALUE_MEDIAN	ET_Lpoly_RVTP_VALUE_MEDIAN	ET_NW_Res_10x30_VALUE_MEDIAN	ET_OP_NRX_Res_10X30_VALUE_MEDIAN	ET_OP_PPC_Res_10X30_VALUE_MEDIAN	ET_RVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_RVTN_1/1_Vtlin_VALUE_MEDIAN	ET_RVTN_Cov_VALUE_MEDIAN	ET_RVTN_Covdd_VALUE_MEDIAN	ET_RVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_RVTP_1/1_Vtlin_VALUE_MEDIAN	ET_RVTP_Cov_VALUE_MEDIAN	ET_RVTP_Covdd_VALUE_MEDIAN	ET_RVT_Vt_Sum_VALUE_MEDIAN	ET_RVT_vt_NP_ratio_VALUE_MEDIAN	ET_SGN_Tox_inv_VALUE_MEDIAN	ET_SGP_Tox_inv_VALUE_MEDIAN	ET_SLVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_SLVTN_1/1_Vtlin_VALUE_MEDIAN	ET_SLVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_SLVTP_1/1_Vtlin_VALUE_MEDIAN	ET_VPNP_Beta_VALUE_MEDIAN
S5XUR	1	UXU3		24/07/2017 04:28										0.525		36.572			41.03							0.503	0.383																						13.378						
S5XUR	2	UXU3		24/07/2017 04:52										0.494		35.719			40.051							0.487	0.362																						13.388						
S5XUR	3	UXU3		24/07/2017 05:17										0.488		35.778			40.138							0.454	0.311																						13.325						
S5XUR	4	UXU3		24/07/2017 05:41										0.512		35.747			40.082							0.502	0.367																						13.349						
S5XUR	5	UXU3		24/07/2017 06:06										0.511		35.851			40.323							0.517	0.356																						13.414						
S5XUR	6	UXU3		24/07/2017 06:29										0.489		35.64			39.983							0.468	0.32																						13.303						
S5XUR	7	UXU3		24/07/2017 06:53										0.517		35.899			40.328							0.501	0.37																						13.341						
S5XUR	8	UXU3		24/07/2017 07:18										0.502		35.799			40.11							0.493	0.366																						13.341						
S5XUR	9	UXU3		24/07/2017 07:43										0.485		35.929			40.31							0.462	0.319																						13.335						
S5XUR	10	UXU3		24/07/2017 08:07										0.516		35.845			40.237							0.512	0.375																						13.382						
S5XUR	11	UXU3		24/07/2017 08:32										0.515		36.409			40.811							0.479	0.348																						13.327						
S5XUR	12	UXU3		24/07/2017 08:55										0.477		35.669			40.162							0.482	0.314																						13.338						
S5XUR	13	UXU3		24/07/2017 10:19										0.518	0.548	36.261	0.484	0.555	40.626							0.505	0.399					24.325	18.938																13.349	16.227					
S5XUR	14	UXU3		24/07/2017 10:44										0.49		35.728			40.113							0.471	0.36																						13.336						
S5XUR	15	UXU3		24/07/2017 11:07										0.494		35.549			39.885							0.471	0.33																						13.355						
S5XUR	16	UXU3		24/07/2017 11:32										0.512		36.133			40.467							0.502	0.391																						13.373						
S5XUR	17	UXU3		24/07/2017 11:56										0.505		35.985			40.364							0.491	0.346																						13.424						
S5XUR	18	UXU3		24/07/2017 12:21										0.484		35.722			40.097							0.481	0.316																						13.39						
S5XUR	19	UXU3		24/07/2017 13:09										0.5175	0.544	35.831		0.55	40.3305							0.504	0.381																						13.362	16.298					
S5XUR	20	UXU3		24/07/2017 13:33										0.52		35.932			40.3							0.493	0.396																						13.375						
S5XUR	21	UXU3		24/07/2017 13:57										0.522		35.826			40.269							0.51	0.388																						13.362						
S5XUR	22	UXU3		24/07/2017 14:21										0.508		35.821			40.232							0.485	0.367																						13.344						
S5XUR	23	UXU3		24/07/2017 14:46										0.524		35.946			40.314							0.51	0.383																						13.381						
S5XUR	24	UXU3		24/07/2017 15:10										0.509		36.14			40.384							0.511	0.372																						13.432						
S5XUR	25	UXU3		24/07/2017 15:35										0.513		35.636			40.012							0.494	0.381																						13.396						
S5ZVU	5	UXU3		07/07/2017 17:52										0.51	0.543	36.089		0.548	40.622							0.487	0.392																						13.406	16.239					
S5ZVU	10	UXU3		07/07/2017 19:04										0.516	0.556	36.457	0.475	0.544	41.01							0.485	0.396					25.033	18.824																13.414	16.279					
S5ZVU	13	UXU3		07/07/2017 19:16										0.51	0.545	36.449	0.48	0.548	41.059							0.484	0.383					24.66	19.414																13.389	16.259					
S5ZVW	13	UXU3		03/07/2017 22:57										0.508	0.541	36.3	0.48	0.549	40.719							0.482	0.391					24.412	18.613																13.342	16.284					
S5ZVW	20	UXU3		03/07/2017 23:22										0.509	0.543	36.45		0.548	40.972							0.473	0.382																						13.362	16.243					
